mid,year,month,day,hour,minute,day_of_year,day_of_week,day_since_hire,Size (MB),Rcpt Count,File Count,Lev_mail,Rcpt Count Personal Max,Rcpt Count Job Max,Rcpt Count Personal Percentile,Rcpt Count Job Percentile,File Count Personal Max,File Count Job Max,File Count Personal Percentile,File Count Job Percentile,Size (MB) Personal Max,Size (MB) Job Max,sub_sensitive_count,files_sensitive_count,files_sensitive_count Personal Max,files_sensitive_count Job Max,files_sensitive_count Personal Percentile,files_sensitive_count Job Percentile,sub_sensitive_count Personal Max,sub_sensitive_count Job Max,sub_sensitive_count Personal Percentile,sub_sensitive_count Job Percentile,Manager ACF2,Job Family,Division,Employment Type,Business Location,Business Group,Employee Status,Local Admin,Privileged User,Government Cleared,target
634,0,1.0,0.5,0.565217391,0.610169492,0.954545455,0.0,0.07688391,0.0,0.0,0.172413793,0,0.0,0.45,0.460674157,0.180555556,0.210526316,0.644444444,0.571428571,0.709302326,0.052734312,0.926126672,0.333333333,0.0,0.142857143,0.142857143,0.344444444,0.243902439,0.333333333,1,0.93258427,0.933333333,0.300492611,0.7625,0.0,0.0,0.754716981,0.526315789,0.0,0.5,0.5,1,1
203,0,0.5,0.666666667,0.130434783,0.423728814,0.53030303,0.0,0.969450102,0.0,0.0,0.068965517,0,0.142857143,0.55,0.359550562,0.263888889,0.5,0.777777778,0.867346939,0.593023256,0.105340589,0.93191044,0.0,0.142857143,0.142857143,0.142857143,0.755555556,0.865853659,0.333333333,1,0.146067416,0.0,0.21182266,0.0875,0.317073171,0.666666667,0.622641509,0.736842105,0.333333333,0.5,0.5,1,1
281,0,0.75,0.033333333,0.47826087,0.084745763,0.613636364,0.666666667,0.975050916,0.0,0.0,0.068965517,0,0.285714286,0.55,0.348314607,0.263888889,0.421052632,0.777777778,0.448979592,0.593023256,0.808131869,0.93191044,0.333333333,0.142857143,0.142857143,0.142857143,0.788888889,0.865853659,0.333333333,1,0.865168539,0.833333333,0.206896552,0.0875,0.317073171,0.666666667,0.622641509,0.736842105,0.333333333,0.5,0.5,1,1
511,0,0.75,0.933333333,0.565217391,0.728813559,0.818181818,0.5,0.240325866,0.233333333,0.0,0.0,0,0.0,0.275,1.0,0.166666667,0.0,0.755555556,1.0,0.093023256,4.66e-07,0.960076308,0.0,0.142857143,0.142857143,0.142857143,1.0,0.841463415,0.0,1,1.0,0.016666667,0.374384236,0.9375,0.390243902,1.0,0.528301887,0.684210526,0.666666667,0.5,0.5,1,1
534,0,1.0,0.1,0.347826087,0.830508475,0.863636364,0.333333333,0.99185336,0.28,0.0,0.0,0,0.178571429,0.875,0.247191011,0.125,0.526315789,0.866666667,0.091836735,0.023255814,0.296992837,0.914405939,0.0,0.142857143,0.142857143,0.142857143,0.833333333,0.865853659,0.333333333,1,0.415730337,0.116666667,0.881773399,0.2875,0.902439024,0.666666667,0.924528302,0.947368421,0.333333333,0.5,0.5,1,0
238,0,0.5,0.866666667,0.043478261,0.762711864,0.575757576,1.0,0.972505092,0.086666667,0.0,0.0,0,0.035714286,0.475,0.415730337,0.166666667,1.0,0.844444444,0.204081633,0.034883721,0.885385506,0.982333934,0.0,0.0,0.142857143,0.142857143,0.266666667,0.097560976,0.333333333,1,0.382022472,0.033333333,0.768472906,0.2375,0.658536585,0.666666667,0.754716981,0.526315789,0.333333333,0.5,0.5,1,1
234,0,0.5,0.866666667,0.043478261,0.423728814,0.575757576,1.0,0.972505092,0.173333333,0.0,0.034482759,0,0.035714286,0.475,0.415730337,0.166666667,1.0,0.844444444,0.489795918,0.255813953,0.885385506,0.982333934,0.0,0.0,0.142857143,0.142857143,0.266666667,0.097560976,0.333333333,1,0.382022472,0.033333333,0.768472906,0.2375,0.658536585,0.666666667,0.754716981,0.526315789,0.333333333,0.5,0.5,1,1
134,0,0.5,0.4,0.391304348,0.610169492,0.46969697,1.0,0.90885947,0.126666667,0.0,0.034482759,0,0.357142857,0.725,0.134831461,0.083333333,0.578947368,0.8,0.653061224,0.279069767,0.238922987,0.863462345,0.0,0.285714286,0.142857143,0.142857143,1.0,1.0,0.333333333,1,0.426966292,0.116666667,0.832512315,0.8875,0.487804878,0.666666667,0.924528302,0.947368421,0.333333333,0.5,0.5,1,0
26,0,0.0,0.9,0.47826087,0.220338983,0.121212121,0.333333333,0.357942974,0.0,0.0,0.0,0,0.285714286,0.625,0.370786517,0.083333333,0.236842105,0.822222222,0.102040816,0.034883721,0.365607171,0.997344228,0.666666667,0.285714286,0.142857143,0.142857143,1.0,1.0,0.333333333,1,1.0,1.0,0.201970443,0.3875,0.317073171,0.666666667,0.622641509,0.736842105,0.0,0.0,0.0,0,1
510,0,0.75,0.933333333,0.565217391,0.949152542,0.818181818,0.5,0.240325866,0.306666667,0.0,0.0,0,0.0,0.275,1.0,0.166666667,0.0,0.755555556,1.0,0.093023256,6.13e-07,0.960076308,0.0,0.142857143,0.142857143,0.142857143,1.0,0.841463415,0.0,1,1.0,0.016666667,0.374384236,0.9375,0.390243902,1.0,0.528301887,0.684210526,0.666666667,0.5,0.5,1,1
372,0,0.75,0.2,1.0,0.847457627,0.651515152,0.333333333,0.977596741,0.0,0.0,0.068965517,0,0.142857143,0.6,0.213483146,0.263888889,0.5,0.8,0.663265306,0.581395349,0.164076208,0.980394551,0.0,0.0,0.142857143,0.142857143,0.444444444,0.243902439,0.333333333,1,0.438202247,0.05,0.615763547,0.375,0.097560976,0.666666667,0.716981132,0.631578947,1.0,0.5,0.5,1,0
140,0,0.5,0.466666667,0.782608696,0.508474576,0.484848485,0.166666667,0.352851324,0.28,0.0,0.034482759,0,0.0,0.8,1.0,0.125,0.026315789,0.866666667,1.0,0.313953488,5.6e-07,0.943834011,0.0,0.0,0.0,0.142857143,1.0,0.170731707,0.0,1,1.0,0.066666667,0.78817734,0.1125,0.219512195,0.666666667,0.754716981,0.526315789,1.0,0.5,0.5,1,1
245,0,0.5,0.9,0.695652174,0.237288136,0.583333333,0.0,0.488289206,0.0,0.0,0.0,0,0.071428571,0.575,0.404494382,0.0,0.578947368,0.911111111,0.214285714,0.104651163,0.467095362,0.939506357,0.0,0.0,0.142857143,0.142857143,0.322222222,0.231707317,0.333333333,1,0.348314607,0.083333333,0.773399015,0.975,0.390243902,0.666666667,0.754716981,0.526315789,0.0,0.5,0.5,1,1
59,0,0.25,0.833333333,0.434782609,0.779661017,0.333333333,0.333333333,0.735234216,0.066666667,0.0,0.448275862,0,0.0,0.625,1.0,0.055555556,0.342105263,0.288888889,1.0,0.720930233,1.33e-07,0.818389053,0.0,1.0,1.0,0.142857143,1.0,1.0,0.0,1,1.0,0.016666667,0.571428571,0.5125,0.707317073,0.666666667,0.641509434,0.789473684,0.0,0.5,0.5,1,0
